"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","flag_leaf_area","anthesis_score"
"WGN07","C",1,1,"WGN07C01",1,"STP",2017,1,32,33,NA,"100","47","8","0.342857143","2.016666667","14.604864","0.384440559","0.928571429","0.467060364","7.824",21.6666666666667,21.6,7
"WGN07","C",1,1,"WGN07C01",1286,"STP",2017,2,40,4,NA,"110","46","9.666666667","0.609625668","2.5",NA,"0.367034483","0.802139037","0.637193","7.608",25,16,8
"WGN07","D",1,2,"WGN07D01",66,"STP",2017,1,18,30,NA,"110","74","9.333333333","0.44","1.99","38.300808","0.583695652","0.92","0.8858408","7.173",23,30.8,8
"WGN07","D",1,2,"WGN07D01",1351,"STP",2017,2,48,34,NA,"105","59","9.333333333","0.52","2.206666667",NA,"0.508853119","0.946666667","0.8167424","7.864",23.6666666666667,22,6
"WGN07","C",2,3,"WGN07C02",2,"STP",2017,1,25,40,NA,"90","19","9","0.37037037","2.3","10.069","0.477777778","0.888888889","0.7269","7.832",24,24,7
"WGN07","C",2,3,"WGN07C02",1287,"STP",2017,2,57,5,NA,"115","49","11.33333333","0.227848101","2.483333333",NA,"0.362386081","0.898734177","0.7056766","7.582",23.6666666666667,25.2,8
"WGN07","D",2,4,"WGN07D02",67,"STP",2017,1,11,23,NA,"90","17","8","0.268656716","1.97","7.801008","0.522270115","0.865671642","0.604912","7.851",19.3333333333333,19.5,5
"WGN07","D",2,4,"WGN07D02",1352,"STP",2017,2,41,4,NA,"95","21","8.666666667","0.493150685","2.27",NA,"0.437637363","0.95890411","0.664741","8.612",23.3333333333333,24,6
"WGN07","C",3,5,"WGN07C03",3,"STP",2017,1,8,13,NA,"110","91","9.333333333","0.696774194","2.5","38.052308","0.509340659","1.006451613","1.0120908","9.921",26,22.1,8
"WGN07","C",3,5,"WGN07C03",1288,"STP",2017,2,48,2,NA,"110","127","9","0.75","2.336666667",NA,"0.531050228","0.9125","0.954737","8.89",24.3333333333333,35,8
"WGN07","D",3,6,"WGN07D03",68,"STP",2017,1,20,8,NA,"95","35","7","0.310344828","1.736666667","8.754657","0.369815668","1.068965517","0.322446417","5.872",20.6666666666667,12.6,5
"WGN07","D",3,6,"WGN07D03",1353,"STP",2017,2,63,22,NA,"100","50","6","0","1.673333333",NA,"0.446610169","1.072727273","0.3350917","6.632",19.6666666666667,17.6,5
"WGN07","C",4,7,"WGN07C04",4,"STP",2017,1,17,10,NA,"110","36","7.333333333","0.415384615","2.093333333","11.536287","0.511048951","1","0.5953087","8.18",21.6666666666667,20,7
"WGN07","C",4,7,"WGN07C04",1289,"STP",2017,2,47,30,NA,"105","59","7.666666667","0.416666667","2.526666667",NA,"0.527029492","0.902777778","0.658841273","8.225",21.6666666666667,15,8
