"Trait1","Effect","Trait2","est","se","z","pvalue","ci.lower","ci.upper"
"Stem Diameter","Direct","Thousand Grain Weight",0.01,0.03,0.4,0.687,-0.04,0.07
"Flag Leaf Area","Direct","Thousand Grain Weight",-0.01,0.03,-0.47,0.641,-0.07,0.04
"Anthesis Score","Direct","Thousand Grain Weight",-0.12,0.03,-3.51,0,-0.19,-0.05
"Spikelet Density","Direct","Thousand Grain Weight",-0.31,0.03,-11.69,0,-0.37,-0.26
"Height","Direct","Thousand Grain Weight",0.29,0.03,8.74,0,0.22,0.35
"Spike Emergence","Direct","Thousand Grain Weight",0.1,0.04,2.79,0.005,0.03,0.17
"Floret Site Utilization","Direct","Thousand Grain Weight",-0.18,0.03,-6.97,0,-0.23,-0.13
"Reproductive Tillers","Direct","Thousand Grain Weight",0.04,0.03,1.4,0.161,-0.02,0.11
"Stem Diameter","Direct","Floret Site Utilization",0.06,0.03,1.97,0.048,0,0.13
"Flag Leaf Area","Direct","Floret Site Utilization",-0.06,0.03,-1.84,0.065,-0.12,0
"Anthesis Score","Direct","Floret Site Utilization",0.12,0.04,3.08,0.002,0.04,0.19
"Spikelet Density","Direct","Floret Site Utilization",-0.05,0.03,-1.69,0.09,-0.11,0.01
"Height","Direct","Floret Site Utilization",0.15,0.04,4.07,0,0.08,0.22
"Spike Emergence","Direct","Floret Site Utilization",-0.01,0.04,-0.36,0.719,-0.09,0.06
"Reproductive Tillers","Direct","Floret Site Utilization",0.02,0.04,0.45,0.653,-0.05,0.08
"Florets per Spikelet","Direct","Floret Site Utilization",-0.26,0.03,-7.89,0,-0.32,-0.19
"Floret Site Utilization","Direct","Yield per Spike",0.84,0.01,85.82,0,0.82,0.86
"Thousand Grain Weight","Direct","Yield per Spike",0.38,0.01,36.92,0,0.36,0.4
"Spikelets per Spike","Direct","Yield per Spike",0.35,0.01,36.24,0,0.33,0.37
"Florets per Spikelet","Direct","Yield per Spike",0.42,0.01,41.99,0,0.4,0.44
"Height","Direct","Yield per Spike",0.06,0.01,5.47,0,0.04,0.08
"Yield per Spike","Direct","Yield per Plant",0.46,0.02,25.85,0,0.42,0.49
"Reproductive Tillers","Direct","Yield per Plant",0.58,0.02,31.65,0,0.54,0.61
"Florets per Spikelet","Direct","Yield per Spike",0.42,0.01,41.99,0,0.4,0.44
"Height","Direct","Yield per Spike",0.06,0.01,5.47,0,0.04,0.08
"Floret Site Utilization","Direct","Yield per Spike",0.84,0.01,85.82,0,0.82,0.86
"Thousand Grain Weight","Direct","Yield per Spike",0.38,0.01,36.92,0,0.36,0.4
"Spikelets per Spike","Direct","Yield per Spike",0.35,0.01,36.24,0,0.33,0.37
"Reproductive Tillers","Direct","Yield per Plant",0.58,0.02,31.65,0,0.54,0.61
"Yield per Spike","Direct","Yield per Plant",0.46,0.02,25.85,0,0.42,0.49
"Florets per Spikelet","Indirect","Yield per Spike",-0.22,0.03,-7.86,0,-0.27,-0.16
"Anthesis Score","Indirect","Yield per Spike",0.05,0.03,1.52,0.127,-0.01,0.12
"Stem Diameter","Indirect","Yield per Spike",0.06,0.03,1.98,0.047,0,0.11
"Spikelet Density","Indirect","Yield per Spike",-0.16,0.03,-5.96,0,-0.21,-0.11
"Height","Indirect","Yield per Spike",0.23,0.03,7.02,0,0.17,0.3
"Flag Leaf Area","Indirect","Yield per Spike",-0.05,0.03,-1.88,0.06,-0.11,0
"Floret Site Utilization","Indirect","Yield per Spike",-0.07,0.01,-6.85,0,-0.09,-0.05
"Spike Emergence","Indirect","Yield per Spike",0.03,0.04,0.72,0.473,-0.04,0.09
"Reproductive Tillers","Indirect","Yield per Spike",0.03,0.03,0.95,0.344,-0.03,0.09
"Florets per Spikelet","Indirect","Yield per Plant",0.58,0.02,24.66,0,0.53,0.62
"Height","Indirect","Yield per Plant",0.13,0.02,8.08,0,0.1,0.17
"Stem Diameter","Indirect","Yield per Plant",0.07,0.01,5.33,0,0.05,0.1
"Anthesis Score","Indirect","Yield per Plant",0.02,0.02,1.52,0.128,-0.01,0.05
"Spike Emergence","Indirect","Yield per Plant",0.01,0.02,0.72,0.474,-0.02,0.04
"Spikelet Density","Indirect","Yield per Plant",-0.07,0.01,-5.81,0,-0.1,-0.05
"Flag Leaf Area","Indirect","Yield per Plant",-0.02,0.01,-1.88,0.061,-0.05,0
"Floret Site Utilization","Indirect","Yield per Plant",0.35,0.02,23.48,0,0.32,0.38
"Thousand Grain Weight","Indirect","Yield per Plant",0.17,0.01,21.18,0,0.16,0.19
"Spikelets per Spike","Indirect","Yield per Plant",0.16,0.01,21.05,0,0.15,0.18
"Reproductive Tillers","Indirect","Yield per Plant",0.01,0.01,0.94,0.345,-0.01,0.04
