trait	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd
Anthesis (1-10)	5	10	7.2	0.91	5.5	9.07	7.38	0.98	4.9	10.1	6.58	0.99	2	9	5.75	1.24
Spike Emergence (%)	0	0.87	0.46	0.16	-0.01	1.1	0.51	0.17	-0.01	1.39	0.77	0.21	0.05	1.9	1.01	0.2
Flag Leaf Area (cm2)	6.41	42.55	24.67	4.54	3.34	24	13.7	3.03	17.18	92.02	48.22	9.68	4.59	47.5	17.83	4.8
Floret Site Utilization (%)	0.02	0.81	0.48	0.09	0.18	1.43	0.6	0.12	0.05	0.62	0.37	0.09	-0.01	0.25	0.03	0.03
Florets Spikelet-1 (ct)	4.98	12	8.81	0.92	3.56	9	6.17	0.74	4.67	12.33	8.47	1	1.15	8.67	4.8	0.91
Height (cm)	69.42	155	117.79	13.16	95	167.5	135.37	11.91	18.87	150	112.49	15.84	51.65	123.35	92.3	10.1
Reproductive Tillers (ct)	0	166.2	71.96	30.14	3.03	334.03	163.23	53.27	2.25	191.47	96.14	32.24	5.48	197.5	78.92	33.86
Spikelet Density (cm)	0.51	1.2	0.78	0.09	0.55	1.23	0.83	0.1	0.5	1.09	0.7	0.09	0.61	1.44	0.94	0.13
Spikelets Spike-1 (ct)	11.54	27.83	21.37	2.28	10.24	28.5	20.55	2.16	13.47	34.17	27.32	2.68	16.17	31.91	23.93	2.39
Stem Diameter (mm)	1.26	3.65	2.32	0.28	0.75	2.5	1.72	0.19	2.17	4.26	3.18	0.31	1.07	2.91	1.97	0.24
Thousand Grain Weight (mg)	3.84	13.22	9.47	1.18	4.2	11.4	8.36	1.04	3.65	11.58	7.87	1.12	2.67	7.95	5.5	0.8
Yield Plant-1 (g)	1.87	78.62	30.48	14.07	1.53	132.6	55.49	23.32	0.9	82.13	30.31	14.62	NA	NA	NA	NA
Yield Spike-1 (g)	0.01	1.35	0.77	0.19	0.08	1.03	0.59	0.15	0.04	1.06	0.59	0.15	-0.01	0.17	0.02	0.02
