famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN26	19.4795391566729	1.0651476135821	46	17.3355082130939	21.6235701002518	 1      
WGN45	22.4839007242702	1.08640369862586	46	20.2970835006564	24.670717947884	 12     
WGN07	24.8776378242196	1.02717991535047	46	22.8100318933122	26.945243755127	  23    
WGN15	27.9390860701158	1.03767653383719	46	25.8503515420529	30.0278205981786	   34   
WGN36	29.3371483218877	1.05079823132678	46	27.2220011866977	31.4522954570777	    45  
WGN38	31.8462382120318	1.06376145038716	46	29.7049974702473	33.9874789538162	     5  
WGN63	32.6688138040259	1.04180199615454	46	30.5717751510209	34.7658524570308	     56 
WGN46	35.992802763037	1.01514094106216	46	33.9494300304901	38.036175495584	      67
WGN55	37.3247736441675	1.00811732808983	46	35.2955387112611	39.3540085770739	       7
WGN39	39.0353261655162	1.01933460037795	46	36.9835120345891	41.0871402964433	       7
