plantID3	famID	emmean	SE	df	lower.CL	upper.CL
1	WGN07	NA	NA	0	NA	NA
2	WGN07	NA	NA	0	NA	NA
3	WGN07	NA	NA	0	NA	NA
4	WGN07	NA	NA	0	NA	NA
5	WGN07	NA	NA	0	NA	NA
6	WGN07	NA	NA	0	NA	NA
7	WGN07	NA	NA	0	NA	NA
8	WGN07	NA	NA	0	NA	NA
9	WGN07	NA	NA	0	NA	NA
10	WGN07	NA	NA	0	NA	NA
11	WGN07	NA	NA	0	NA	NA
12	WGN07	NA	NA	0	NA	NA
13	WGN07	NA	NA	0	NA	NA
14	WGN07	NA	NA	0	NA	NA
15	WGN07	NA	NA	0	NA	NA
16	WGN07	NA	NA	0	NA	NA
17	WGN07	NA	NA	0	NA	NA
18	WGN07	NA	NA	0	NA	NA
20	WGN07	NA	NA	0	NA	NA
21	WGN07	NA	NA	0	NA	NA
22	WGN07	NA	NA	0	NA	NA
24	WGN07	NA	NA	0	NA	NA
25	WGN07	NA	NA	0	NA	NA
26	WGN07	NA	NA	0	NA	NA
27	WGN07	NA	NA	0	NA	NA
28	WGN07	NA	NA	0	NA	NA
29	WGN07	NA	NA	0	NA	NA
30	WGN07	NA	NA	0	NA	NA
31	WGN07	NA	NA	0	NA	NA
32	WGN07	NA	NA	0	NA	NA
33	WGN07	NA	NA	0	NA	NA
34	WGN07	NA	NA	0	NA	NA
35	WGN07	NA	NA	0	NA	NA
36	WGN07	NA	NA	0	NA	NA
37	WGN07	NA	NA	0	NA	NA
38	WGN07	NA	NA	0	NA	NA
39	WGN07	NA	NA	0	NA	NA
40	WGN07	NA	NA	0	NA	NA
41	WGN07	NA	NA	0	NA	NA
42	WGN07	NA	NA	0	NA	NA
44	WGN07	NA	NA	0	NA	NA
46	WGN07	NA	NA	0	NA	NA
47	WGN07	NA	NA	0	NA	NA
48	WGN07	NA	NA	0	NA	NA
49	WGN07	NA	NA	0	NA	NA
50	WGN07	NA	NA	0	NA	NA
52	WGN07	NA	NA	0	NA	NA
53	WGN07	NA	NA	0	NA	NA
54	WGN07	NA	NA	0	NA	NA
55	WGN07	NA	NA	0	NA	NA
56	WGN07	NA	NA	0	NA	NA
57	WGN07	NA	NA	0	NA	NA
58	WGN07	NA	NA	0	NA	NA
59	WGN07	NA	NA	0	NA	NA
60	WGN07	NA	NA	0	NA	NA
61	WGN07	NA	NA	0	NA	NA
63	WGN07	NA	NA	0	NA	NA
64	WGN07	NA	NA	0	NA	NA
66	WGN07	NA	NA	0	NA	NA
67	WGN07	NA	NA	0	NA	NA
68	WGN07	NA	NA	0	NA	NA
69	WGN07	NA	NA	0	NA	NA
71	WGN07	NA	NA	0	NA	NA
73	WGN07	NA	NA	0	NA	NA
74	WGN07	NA	NA	0	NA	NA
75	WGN07	NA	NA	0	NA	NA
76	WGN07	NA	NA	0	NA	NA
77	WGN07	NA	NA	0	NA	NA
78	WGN07	NA	NA	0	NA	NA
79	WGN07	NA	NA	0	NA	NA
80	WGN07	NA	NA	0	NA	NA
81	WGN07	NA	NA	0	NA	NA
82	WGN07	NA	NA	0	NA	NA
83	WGN07	NA	NA	0	NA	NA
84	WGN07	NA	NA	0	NA	NA
85	WGN07	NA	NA	0	NA	NA
86	WGN07	NA	NA	0	NA	NA
87	WGN07	NA	NA	0	NA	NA
88	WGN07	NA	NA	0	NA	NA
89	WGN07	NA	NA	0	NA	NA
90	WGN07	NA	NA	0	NA	NA
91	WGN07	NA	NA	0	NA	NA
92	WGN07	NA	NA	0	NA	NA
93	WGN07	NA	NA	0	NA	NA
94	WGN07	NA	NA	0	NA	NA
95	WGN07	NA	NA	0	NA	NA
96	WGN07	NA	NA	0	NA	NA
97	WGN07	NA	NA	0	NA	NA
98	WGN07	NA	NA	0	NA	NA
99	WGN07	NA	NA	0	NA	NA
100	WGN07	NA	NA	0	NA	NA
101	WGN07	NA	NA	0	NA	NA
102	WGN07	NA	NA	0	NA	NA
103	WGN07	NA	NA	0	NA	NA
104	WGN07	NA	NA	0	NA	NA
105	WGN07	NA	NA	0	NA	NA
106	WGN07	NA	NA	0	NA	NA
107	WGN07	NA	NA	0	NA	NA
108	WGN07	NA	NA	0	NA	NA
109	WGN07	NA	NA	0	NA	NA
110	WGN07	NA	NA	0	NA	NA
112	WGN07	NA	NA	0	NA	NA
113	WGN07	NA	NA	0	NA	NA
114	WGN07	NA	NA	0	NA	NA
115	WGN07	NA	NA	0	NA	NA
116	WGN07	NA	NA	0	NA	NA
117	WGN07	NA	NA	0	NA	NA
118	WGN07	NA	NA	0	NA	NA
119	WGN07	NA	NA	0	NA	NA
120	WGN07	NA	NA	0	NA	NA
121	WGN07	NA	NA	0	NA	NA
122	WGN07	NA	NA	0	NA	NA
123	WGN07	NA	NA	0	NA	NA
124	WGN07	NA	NA	0	NA	NA
125	WGN07	NA	NA	0	NA	NA
126	WGN07	NA	NA	0	NA	NA
128	WGN07	NA	NA	0	NA	NA
129	WGN07	NA	NA	0	NA	NA
130	WGN07	NA	NA	0	NA	NA
1	WGN15	NA	NA	0	NA	NA
2	WGN15	NA	NA	0	NA	NA
3	WGN15	NA	NA	0	NA	NA
4	WGN15	NA	NA	0	NA	NA
5	WGN15	NA	NA	0	NA	NA
7	WGN15	NA	NA	0	NA	NA
8	WGN15	NA	NA	0	NA	NA
9	WGN15	NA	NA	0	NA	NA
10	WGN15	NA	NA	0	NA	NA
11	WGN15	NA	NA	0	NA	NA
12	WGN15	NA	NA	0	NA	NA
13	WGN15	NA	NA	0	NA	NA
14	WGN15	NA	NA	0	NA	NA
15	WGN15	NA	NA	0	NA	NA
16	WGN15	NA	NA	0	NA	NA
17	WGN15	NA	NA	0	NA	NA
18	WGN15	NA	NA	0	NA	NA
19	WGN15	NA	NA	0	NA	NA
20	WGN15	NA	NA	0	NA	NA
21	WGN15	NA	NA	0	NA	NA
22	WGN15	NA	NA	0	NA	NA
23	WGN15	NA	NA	0	NA	NA
24	WGN15	NA	NA	0	NA	NA
25	WGN15	NA	NA	0	NA	NA
26	WGN15	NA	NA	0	NA	NA
27	WGN15	NA	NA	0	NA	NA
28	WGN15	NA	NA	0	NA	NA
29	WGN15	NA	NA	0	NA	NA
30	WGN15	NA	NA	0	NA	NA
31	WGN15	NA	NA	0	NA	NA
32	WGN15	NA	NA	0	NA	NA
33	WGN15	NA	NA	0	NA	NA
34	WGN15	NA	NA	0	NA	NA
35	WGN15	NA	NA	0	NA	NA
36	WGN15	NA	NA	0	NA	NA
37	WGN15	NA	NA	0	NA	NA
38	WGN15	NA	NA	0	NA	NA
39	WGN15	NA	NA	0	NA	NA
40	WGN15	NA	NA	0	NA	NA
41	WGN15	NA	NA	0	NA	NA
43	WGN15	NA	NA	0	NA	NA
44	WGN15	NA	NA	0	NA	NA
45	WGN15	NA	NA	0	NA	NA
46	WGN15	NA	NA	0	NA	NA
47	WGN15	NA	NA	0	NA	NA
48	WGN15	NA	NA	0	NA	NA
50	WGN15	NA	NA	0	NA	NA
51	WGN15	NA	NA	0	NA	NA
52	WGN15	NA	NA	0	NA	NA
53	WGN15	NA	NA	0	NA	NA
54	WGN15	NA	NA	0	NA	NA
55	WGN15	NA	NA	0	NA	NA
56	WGN15	NA	NA	0	NA	NA
57	WGN15	NA	NA	0	NA	NA
58	WGN15	NA	NA	0	NA	NA
59	WGN15	NA	NA	0	NA	NA
60	WGN15	NA	NA	0	NA	NA
61	WGN15	NA	NA	0	NA	NA
62	WGN15	NA	NA	0	NA	NA
63	WGN15	NA	NA	0	NA	NA
64	WGN15	NA	NA	0	NA	NA
65	WGN15	NA	NA	0	NA	NA
66	WGN15	NA	NA	0	NA	NA
67	WGN15	NA	NA	0	NA	NA
68	WGN15	NA	NA	0	NA	NA
